id,questionId,score,providerId,requirementId
1,1,1,2,1
2,2,0.5,2,1
3,3,1,2,1
4,4,1,2,1
5,5,0.5,2,1
6,6,0.5,2,1
7,7,1,2,1
8,8,1,2,1
9,9,1,2,1
10,10,1,2,1
11,11,0,2,1
12,12,1,2,1
13,13,1,2,1
14,14,1,2,2
15,15,1,2,2
16,16,1,2,2
17,17,1,2,2
18,18,1,2,2
19,19,0.5,2,2
20,20,0.5,2,2
21,21,0.5,2,2
22,22,0.5,2,2
23,23,0.5,2,2
24,24,1,2,2
25,25,1,2,2
26,26,1,2,3
27,27,0.5,2,3
28,28,0.5,2,3
29,29,1,2,3
30,30,1,2,3
31,31,0,2,3
32,32,1,2,3
33,33,1,2,3
34,34,0,2,3
35,35,1,2,3
36,36,1,2,3
37,37,0.5,2,3
38,38,1,2,3
39,39,1,2,3
40,40,1,2,3
41,41,1,2,3
42,42,0.5,2,4
43,43,1,2,4
44,44,1,2,4
45,45,1,2,4
46,46,1,2,4
47,47,0,2,4
48,48,1,2,5
49,49,1,2,5
50,50,1,2,5
51,51,1,2,5
52,52,1,2,5
53,53,0,2,5
54,54,1,2,5
55,55,1,2,5
56,56,0.5,2,5
57,1,1,1,1
58,2,0.5,1,1
59,3,1,1,1
60,4,1,1,1
61,5,0.5,1,1
62,6,0.5,1,1
63,7,1,1,1
64,8,0.5,1,1
65,9,1,1,1
66,10,1,1,1
67,11,0,1,1
68,12,1,1,1
69,13,1,1,1
70,14,1,1,2
71,15,1,1,2
72,16,1,1,2
73,17,1,1,2
74,18,0.5,1,2
75,19,0.5,1,2
76,20,1,1,2
77,21,0.5,1,2
78,22,0.5,1,2
79,23,1,1,2
80,24,1,1,2
81,25,1,1,2
82,26,1,1,3
83,27,0.5,1,3
84,28,1,1,3
85,29,1,1,3
86,30,1,1,3
87,31,0,1,3
88,32,1,1,3
89,33,1,1,3
90,34,0,1,3
91,35,1,1,3
92,36,0.5,1,3
93,37,0.5,1,3
94,38,1,1,3
95,39,1,1,3
96,40,1,1,3
97,41,1,1,3
98,42,0.5,1,4
99,43,0.5,1,4
100,44,0.5,1,4
101,45,1,1,4
102,46,1,1,4
103,47,0,1,4
104,48,1,1,5
105,49,0,1,5
106,50,1,1,5
107,51,1,1,5
108,52,1,1,5
109,53,0,1,5
110,54,1,1,5
111,55,1,1,5
112,56,0.5,1,5
113,1,1,3,1
114,2,0.5,3,1
115,3,1,3,1
116,4,1,3,1
117,5,0.5,3,1
118,6,0.5,3,1
119,7,1,3,1
120,8,0.5,3,1
121,9,1,3,1
122,10,1,3,1
123,11,0,3,1
124,12,1,3,1
125,13,1,3,1
126,14,1,3,2
127,15,1,3,2
128,16,1,3,2
129,17,1,3,2
130,18,0.5,3,2
131,19,0.5,3,2
132,20,1,3,2
133,21,0.5,3,2
134,22,0.5,3,2
135,23,1,3,2
136,24,1,3,2
137,25,1,3,2
138,26,1,3,3
139,27,0.5,3,3
140,28,1,3,3
141,29,1,3,3
142,30,1,3,3
143,31,0,3,3
144,32,1,3,3
145,33,1,3,3
146,34,0,3,3
147,35,1,3,3
148,36,0.5,3,3
149,37,0.5,3,3
150,38,1,3,3
151,39,1,3,3
152,40,1,3,3
153,41,1,3,3
154,42,0.5,3,4
155,43,0.5,3,4
156,44,0.5,3,4
157,45,1,3,4
158,46,1,3,4
159,47,0,3,4
160,48,1,3,5
161,49,0,3,5
162,50,1,3,5
163,51,1,3,5
164,52,1,3,5
165,53,0,3,5
166,54,1,3,5
167,55,1,3,5
168,56,0.5,3,5
